MUNICIPIO,LATITUD,LONGITUD,Producción (t),Crecimiento 2022,% Act. primarias municipio,% Act. secundarias municipio,% Act. terciarias municipio,pobl. con pregrado municipio,Valor agregado 2022,% pobl. con pregrado municipio,Peso relativo municipal en el valor agregado departamental (%),Potencial de exportación
Municipio 822,31.911656236126305,64.26086156566262,9248,27.25757517038004,35,71,-6,43,753055,53,18,No
Municipio 644,-60.33091270114759,54.956350457171425,9424,13.201967414897759,7,90,3,64,836851,98,37,No
Municipio 533,79.64315859832394,-178.54191444130862,6866,49.24121149579719,37,92,-29,25,580580,31,46,Sí
Municipio 691,-24.912365391414994,-82.39501687412144,7293,42.8707943276493,61,13,26,60,131056,98,60,Sí
Municipio 337,-68.64763312613226,17.562189975903948,6534,8.792406140672703,68,95,-63,78,246546,45,66,No
Municipio 972,28.277750011021766,-137.1981419092076,6407,31.84027898097642,54,16,30,23,267498,30,51,No
Municipio 20,36.848897220425954,-107.67111083228433,743,19.982781220420858,38,17,45,34,596018,69,54,No
Municipio 822,-15.720107485675811,74.94766943512693,2637,4.35191966485694,82,47,-29,41,667132,53,57,No
Municipio 771,45.315232464848464,33.95000562210882,1165,11.36575868472649,31,38,31,25,313767,1,86,No
Municipio 141,-27.845899561009546,-169.7089891082443,5119,7.108714484746642,30,45,25,93,820906,69,96,No
Municipio 318,47.300901609245955,-115.99321469121554,7869,1.6873789447264864,4,90,6,9,336122,38,56,No
Municipio 134,8.678190822476523,82.78232884486084,9230,29.095875733110958,62,22,16,86,928382,49,61,No
Municipio 893,67.78451833138178,-29.843726869872967,6296,40.15444155736882,11,38,51,91,821321,79,92,Sí
Municipio 517,10.460114750670783,53.08551575605196,1247,36.74605220565052,32,53,15,38,393266,4,69,No
Municipio 526,-76.38190659041341,81.37449925676219,8662,28.889621864620725,8,30,62,30,333131,91,58,No
Municipio 681,-6.93636983346893,-34.82315381556751,8947,17.418805515606067,49,68,-17,74,922965,95,74,No
Municipio 795,18.3768346998732,92.23594503165145,9458,39.63549015357957,81,84,-65,95,178671,13,52,Sí
Municipio 55,55.77130135347491,29.050552239020817,2604,11.450235775009022,16,61,23,31,791473,60,63,No
Municipio 200,5.281890553742016,-176.4954683472161,4521,11.217684894900076,61,77,-38,91,556337,62,23,No
Municipio 761,-69.68130629788453,-9.218051321146532,5343,39.0473043368825,96,99,-95,18,945899,65,21,Sí
Municipio 577,62.68077608202603,-17.617328264456233,1908,8.769192319205299,67,86,-53,47,417841,25,36,No
Municipio 786,4.787197755485536,132.59178849630803,5385,24.606936087036146,32,58,10,43,943914,26,9,No
Municipio 188,22.421685821924456,81.72002107017539,6685,31.737131516503993,69,86,-55,97,894855,62,93,No
Municipio 76,67.26973907759748,23.724318548312965,9015,11.572392836545786,51,16,33,67,746396,78,45,No
Municipio 179,-20.508943218639615,-170.98648435986814,2824,39.597150767629245,41,3,56,40,528102,91,93,Sí
Municipio 142,-73.2539884655121,28.802619239227425,4862,47.889318482275165,96,54,-50,23,431663,13,60,Sí
Municipio 696,-1.2834195170534883,-92.07069139285873,8245,8.961509719586209,3,22,75,88,821084,64,69,No
Municipio 914,14.427795570577743,-32.91233540159246,3907,40.97777824816485,21,90,-11,90,334670,83,16,Sí
Municipio 664,-77.93724194097499,-148.3291822578121,9005,18.415843256138082,88,9,3,17,189075,65,35,No
Municipio 399,-78.27596797693627,176.1113575882964,4600,45.257537844924066,41,61,-2,19,666336,30,55,Sí
Municipio 776,33.535183325080325,73.07739247725729,3129,13.723993396387957,40,84,-24,17,887521,83,79,No
Municipio 682,77.27448648610721,-123.5339883119052,9601,36.84609708705279,34,20,46,5,867722,88,60,Sí
Municipio 188,-33.94409842155524,-18.20947366054125,2503,19.0826378440828,19,22,59,57,977435,69,84,No
Municipio 80,-76.88957930245874,34.26130197642334,3328,10.062065426952666,76,87,-63,18,605185,15,66,No
Municipio 15,52.576346025325876,-87.71152839762789,3152,22.876787596573543,94,37,-31,92,910484,34,36,No
Municipio 584,-46.02705475725435,-79.69544059996447,4803,47.45073837810826,6,47,47,84,201204,82,95,Sí
Municipio 866,-70.09892477133346,-16.063117762369814,1091,24.855888484036498,36,69,-5,61,775023,88,53,No
Municipio 571,-61.415334224760215,30.15522819642004,3783,43.80785996769054,35,25,40,75,704039,14,28,Sí
Municipio 1,-39.54773564172045,167.5345430356432,3564,8.44954526793531,50,78,-28,41,707236,17,16,No
Municipio 605,-67.32943979755082,57.72828131532523,1140,15.328154840783863,68,23,9,3,109209,76,58,No
Municipio 731,-64.91957827692484,-91.9610113865074,5495,21.161172595688154,48,98,-46,15,940382,40,69,No
Municipio 382,-46.6908012007513,-100.19183247805611,6610,3.337670802558651,8,19,73,1,421262,23,0,No
Municipio 312,-48.525029423287236,17.69141765969397,2135,49.91343813702453,61,97,-58,79,789470,9,35,No
Municipio 307,-79.01385716130224,-120.45242558534571,7932,33.479903213119535,46,20,34,90,542272,53,71,No
Municipio 941,-22.19545874311703,-153.1730160025098,1424,48.60868334283391,94,23,-17,88,667985,99,32,No
Municipio 525,79.58719170798301,172.0070901956263,7029,25.624541657649715,49,15,36,28,960914,18,45,No
Municipio 149,49.42192618119205,3.2056279115814164,5982,43.145430808932154,71,2,27,86,586400,65,95,Sí
Municipio 652,-13.900934831111229,122.47505171411154,400,38.31650118562413,42,4,54,3,582456,40,0,No
Municipio 330,-75.19310985345629,40.58471712376411,9263,28.883893182210123,63,30,7,38,255603,76,10,No
Municipio 724,-60.8614547491596,-153.65291793754986,2747,40.101732289976745,55,20,25,49,580454,44,94,Sí
Municipio 758,-84.40327911187931,-164.16921477086458,2612,16.653085858586596,76,96,-72,38,568066,70,29,No
Municipio 455,-83.26040228458793,174.952073924922,4640,14.826238550090148,75,67,-42,78,383113,86,14,No
Municipio 178,-45.66155847613865,-122.76776784723727,8187,12.529075542221413,71,16,13,5,901242,96,12,No
Municipio 877,-71.21553559805986,144.90040716026363,8767,44.61244500969302,84,98,-82,98,108257,49,48,Sí
Municipio 124,81.97838754281642,1.6529311462324188,390,44.84716962176029,14,39,47,16,703537,63,1,No
Municipio 658,-3.273229013740405,-37.518164230081396,220,25.076827294242747,79,10,11,89,656127,12,42,No
Municipio 861,69.6585487513274,-76.10137763092912,285,16.29236335828172,83,55,-38,70,410861,33,98,No
Municipio 757,-35.748883055434696,-43.20185489320738,3302,26.527864586534406,89,54,-43,6,273739,2,31,No
Municipio 927,-78.60361843186931,130.0596508700321,3657,31.469238705441754,6,78,16,20,381163,26,57,No
Municipio 911,-37.97160890881914,54.13293502573026,8505,31.20774829625607,65,41,-6,23,976823,28,37,No
Municipio 933,-72.55643658885553,15.506592725287646,4382,20.765761969562675,38,42,20,36,986276,67,59,No
Municipio 54,-65.34849855404292,-87.3912131667436,503,42.54925100223064,63,51,-14,12,613017,91,70,No
Municipio 116,-19.500854403278083,-5.373884954709467,3757,35.92479613068691,3,57,40,31,119603,90,45,Sí
Municipio 168,38.006807767112775,30.26704706182224,7402,38.68723676685392,98,81,-79,92,202816,80,10,Sí
Municipio 3,-72.76213566344458,40.126781609638726,7569,10.396788318246259,91,72,-63,81,413838,47,94,No
Municipio 647,11.894308141467349,-25.738492655965132,4195,16.944100710243404,60,40,0,17,630784,34,3,No
Municipio 918,-18.25932462870965,145.1292413463225,8583,25.41648077334313,49,74,-23,7,944884,23,24,No
Municipio 671,-31.66287796861036,-136.08992081224375,9116,22.02677558431611,27,51,22,83,345806,98,59,No
Municipio 103,75.36237655841819,-21.146619194002795,2202,29.65135647332337,19,33,48,69,438486,12,69,No
Municipio 617,87.08019700279044,101.0872868378321,6553,12.667844912991782,64,45,-9,26,475887,24,25,No
Municipio 282,-78.33494571551445,8.017563768432751,3110,46.350334161314,37,19,44,18,888494,61,52,Sí
Municipio 604,63.210367316251165,45.62842168870256,9021,47.32117770927272,52,0,48,44,882010,11,95,Sí
Municipio 8,-51.02948610899103,12.868728872037366,3742,19.526522356973175,21,54,25,16,161812,5,89,No
Municipio 225,28.20307460446344,146.89282931590566,5522,38.91804402125124,29,33,38,22,854518,41,28,Sí
Municipio 432,3.458950566261535,75.40085484894311,8413,14.20008665231774,98,94,-92,30,273594,81,16,No
Municipio 795,-48.436404415428434,-48.86575124056202,3768,36.01272239152123,10,96,-6,8,213395,59,93,Sí
Municipio 947,-18.788107607975846,-139.8328663601049,5070,31.965463990431342,9,15,76,79,992526,29,85,No
Municipio 867,-21.473436410388388,-25.35448878204258,2234,36.13348639903133,82,3,15,69,203647,67,18,No
Municipio 858,-71.58702634523803,31.181847921352926,1060,10.125184399129378,76,9,15,2,948425,71,4,No
Municipio 875,-8.988938965645303,162.91884113168322,5655,18.03359347491686,51,14,35,3,102970,57,64,No
Municipio 674,-88.00208849785724,-103.89791087378612,5711,49.19266964472194,38,81,-19,36,175263,70,81,Sí
Municipio 33,-2.7682318007396276,117.93997351725852,9958,41.73274450723189,45,57,-2,32,166427,89,91,Sí
Municipio 462,58.57879940072246,-153.3106743940915,1913,13.57922916815607,7,16,77,46,255703,58,30,No
Municipio 823,82.39157153677405,125.4986716128339,7076,48.292679020359536,28,54,18,12,478994,65,80,Sí
Municipio 540,74.65722136773809,-157.45438588567526,981,0.4848065658535017,35,53,12,14,333103,44,52,No
Municipio 821,54.776779351427706,133.42289756122568,6473,13.603584952427228,60,81,-41,33,724332,31,78,No
Municipio 534,43.65293914641154,109.18142356433151,7263,18.79835774228818,64,37,-1,72,288693,99,64,No
Municipio 686,61.54269491376388,97.74559227852222,3607,45.83419192765783,34,3,63,81,682019,19,64,Sí
Municipio 48,31.172322711353758,160.30566386098837,4318,39.699445316994435,86,71,-57,78,307305,74,18,Sí
Municipio 257,75.1185884756151,178.17483063860192,2384,6.155185663992086,10,28,62,84,679449,45,47,No
Municipio 543,-37.0309802902269,63.06236023730068,1454,46.568387020338854,67,50,-17,15,677113,33,35,No
Municipio 699,-58.29331169519021,77.39501654031841,1713,37.13570221073142,22,97,-19,50,136146,80,76,No
Municipio 717,-65.35689105785015,-113.64341387379521,8753,45.558126181852614,36,3,61,96,880250,92,96,Sí
Municipio 734,-37.53940793917954,5.672201077665989,4835,27.431462213975188,38,93,-31,1,521819,74,43,No
Municipio 638,-38.62239610193362,91.4305979592433,9505,45.837483574776925,63,57,-20,0,229001,68,54,Sí
Municipio 267,-24.714098143951247,36.439829282506764,8125,13.529111901661656,94,60,-54,80,644528,70,66,No
Municipio 632,-28.14420233579952,80.68712528420286,1844,11.430984775038883,63,94,-57,55,376254,77,51,No
Municipio 306,-28.793779316100874,-68.90830887835928,2864,26.32117220308356,3,22,75,56,437015,34,72,No
Municipio 273,-40.97184533813911,-130.88584506866266,2048,28.455510594493845,51,38,11,93,976773,58,56,No
Municipio 320,29.21602050177262,100.95175716618701,491,12.015452332308058,14,32,54,69,269224,77,53,No
Municipio 615,-61.973268226272054,2.0680754128594288,7234,21.853276233767993,3,47,50,47,692014,26,71,No
Municipio 433,-9.157948755461433,125.6989659888165,8395,31.3957366270267,40,75,-15,90,805512,59,74,No
Municipio 283,84.65198748276521,-52.55009108702039,8114,44.38237776887822,50,33,17,15,744875,97,78,Sí
Municipio 839,-65.70881564431579,116.25546941279316,6892,9.921831101218947,44,60,-4,82,489731,1,60,No
Municipio 836,-7.805806777461527,31.840353855188823,1398,30.97911620474524,89,60,-49,62,201273,55,96,No
Municipio 584,30.18973773830008,58.349609910727196,5036,13.616308814508898,15,78,7,67,536549,38,65,No
Municipio 594,27.78818972916936,134.20798703520916,5761,15.33096732815925,80,87,-67,48,663357,38,30,No
Municipio 412,78.3131541518355,-125.53823795250051,4899,41.28562860294345,80,18,2,48,335674,65,48,Sí
Municipio 376,14.914807091035044,-63.50112934134238,9064,9.58003873207834,59,67,-26,65,174690,83,11,No
Municipio 71,-35.9430215326725,-8.442790312580541,2361,49.98333151182827,83,14,3,25,626988,7,35,Sí
Municipio 362,-42.78061870953881,-90.357638437456,957,12.647706943796832,67,0,33,21,275567,15,27,No
Municipio 30,19.92626534550807,130.0831688899446,6819,9.094331238355036,46,25,29,53,930324,0,87,No
Municipio 472,74.92526508162254,-118.5884111132787,1550,11.9028107982791,56,9,35,34,727465,57,59,No
Municipio 163,36.856093403679054,67.69586558239433,8541,38.56308917153389,26,2,72,50,937874,28,96,Sí
Municipio 96,12.01338522369241,45.8430571998251,9912,22.636091753567094,63,78,-41,57,591720,82,27,No
Municipio 327,-62.2844949501565,13.121663154374204,245,39.8446842999671,41,31,28,99,250348,55,95,No
Municipio 785,10.471844700286852,-55.69063661742611,8769,39.3110111960364,87,29,-16,91,240003,81,54,Sí
Municipio 581,61.61429347880892,-152.0373741561395,6398,18.868863174939037,58,33,9,17,714110,28,37,No
Municipio 383,57.204467834949895,-11.270666694167687,908,25.69176586776122,44,63,-7,69,363943,79,13,No
Municipio 701,-15.08625463060082,-165.4225141773291,1137,34.32600474514408,31,9,60,34,996476,99,51,No
Municipio 416,8.541012516639839,-14.091235330683219,1121,24.949702107143928,23,24,53,56,815968,49,24,No
Municipio 811,30.68391555662653,164.11735958454545,1373,26.85519621562909,23,80,-3,4,786765,43,60,No
Municipio 603,68.24461158718279,146.17228271197803,7122,1.8966156137724066,84,82,-66,27,741661,21,45,No
Municipio 987,-34.70421475786637,40.40929514596996,8677,5.759915883202149,34,72,-6,4,467732,71,74,No
Municipio 882,81.1972813397249,-50.300232551875695,5337,30.88815204775016,67,73,-40,66,597632,0,32,No
Municipio 511,3.417291186410523,56.15404057978762,9757,34.46279281340016,51,70,-21,56,707073,31,50,Sí
Municipio 243,-9.663133588194924,79.9289128645757,6931,3.1311423371916502,78,68,-46,8,223405,67,83,No
Municipio 755,-45.82712403978131,35.84073815951916,7488,16.441977748891812,59,85,-44,5,291313,8,47,No
Municipio 681,19.166405284770917,135.72955243272384,1765,10.96381307195194,39,16,45,63,517589,42,38,No
Municipio 26,15.959770296111017,-157.47967489104795,3305,18.000624132781056,4,20,76,32,683802,63,33,No
Municipio 998,-66.7883730926817,11.98450296403962,6822,13.496594508823579,35,23,42,84,473732,65,30,No
Municipio 602,-59.95125539267851,150.50777296794547,8979,39.47400422526686,30,23,47,8,825776,76,93,Sí
Municipio 143,65.10783153112243,55.28419269439843,1120,20.658881169981726,71,9,20,81,853459,74,93,No
Municipio 609,38.69833948204777,-17.383294192618024,4297,19.729730309384202,75,15,10,86,262681,46,66,No
Municipio 868,-74.95457864457786,-66.95949802701196,6007,4.8826753189828045,70,30,0,55,185683,95,29,No
Municipio 499,82.77149232334048,61.30341978306501,5312,24.634795762998245,8,72,20,55,654830,39,96,No
Municipio 560,-2.3841252254786127,108.05629288855312,9574,40.89453423957154,76,41,-17,68,927008,53,18,Sí
Municipio 652,1.2303073746215176,-127.92992136840306,245,41.452210589594394,64,54,-18,92,317092,20,55,No
Municipio 11,44.396334541222956,-158.61159899772292,445,11.277379641366341,52,6,42,53,959682,40,5,No
Municipio 297,6.435771619708774,72.62612151248109,9065,47.62302790644054,96,85,-81,66,897287,88,96,Sí
Municipio 363,81.98396255052043,-137.55035912145158,4530,25.344353168342987,72,94,-66,84,512674,81,3,No
Municipio 399,-52.41805361758641,-84.40374101000143,9602,32.59323755038983,9,1,90,51,989713,6,25,No
Municipio 640,-82.40992297561485,115.94972829085998,4940,11.912238956512471,10,69,21,23,490485,23,61,No
Municipio 455,18.13813209278129,-146.54803307857617,5058,31.992124345349875,85,84,-69,59,529988,44,16,No
Municipio 121,26.15671245133545,107.84624473316586,7151,10.920878050007593,44,89,-33,41,464905,45,69,No
Municipio 215,-83.4551081392539,-69.24642715536528,6673,4.172106422455618,43,98,-41,30,180443,65,57,No
Municipio 676,11.04521606457665,-32.89367170967071,8933,43.18736902562592,20,26,54,98,512444,29,31,Sí
Municipio 521,41.0071016009326,146.85453853785685,1807,0.24702702989126135,5,72,23,30,305220,26,64,No
Municipio 464,-71.94340172281005,-62.6737266723369,4523,27.62276940180628,19,90,-9,36,729529,44,15,No
Municipio 32,77.63779550907856,-125.28681026406184,9097,11.339787709972276,94,49,-43,41,990492,47,2,No
Municipio 870,-59.66683663906722,172.52972393083695,4170,16.102517138848427,2,86,12,70,455237,16,74,No
Municipio 395,-48.482255001245406,90.13035857772576,8860,37.04524570522712,56,46,-2,15,895301,15,78,Sí
Municipio 683,-29.822241860764564,-125.9684283117431,1151,12.832633632359736,42,0,58,35,146005,22,28,No
Municipio 709,3.395677531081418,-136.78600698774852,6660,17.80832641836987,77,22,1,28,117327,59,99,No
Municipio 358,73.90757260644418,56.595754002986155,1205,42.24729999887582,73,70,-43,58,282143,36,47,No
Municipio 678,80.1361063399757,103.34991126913923,9214,34.210510855573375,58,16,26,84,606104,59,6,Sí
Municipio 404,18.528098286578356,-56.93727392359219,8474,38.04650301496735,46,54,0,61,885173,40,21,Sí
Municipio 777,-8.553297738565135,-13.790009956845068,4566,35.89694246079874,43,0,57,60,773398,94,78,Sí
Municipio 898,27.327285133544038,-125.03567007848162,6190,39.40975341010341,84,50,-34,61,944225,55,5,Sí
Municipio 409,23.78786356108104,-82.28918417229335,2793,26.0520631386369,4,45,51,89,833673,52,10,No
Municipio 738,-52.98454586003484,-165.52086338254892,4734,46.06790909785357,65,32,3,20,149104,11,66,Sí
Municipio 450,-42.66175804571712,0.028210032350216352,2881,48.55371784930197,46,9,45,16,161117,80,59,Sí
Municipio 509,76.6123265134307,77.43563122123413,177,15.460548722246076,32,36,32,78,557183,59,97,No
Municipio 570,14.746458279492202,81.51807760015146,727,42.69513301888896,96,33,-29,49,563176,61,91,No
Municipio 751,41.53591121970618,-176.79563424471584,2790,10.356410829505263,32,92,-24,24,656062,73,85,No
Municipio 103,-57.86632004063663,-149.96416113270848,7143,19.137748283461647,67,0,33,65,987863,62,22,No
Municipio 305,-46.12362409156639,84.3445001030505,5879,24.772854650440202,16,68,16,96,286366,63,25,No
Municipio 462,-28.429057061878076,-118.75617638105462,388,42.7382778489086,66,99,-65,10,231861,43,98,No
Municipio 341,71.39000279910087,177.52022825946426,2923,23.001802787704605,60,0,40,64,528951,1,93,No
Municipio 340,-54.742238540377606,-9.446908281886238,7268,19.486876158085902,76,36,-12,11,754932,38,77,No
Municipio 273,-25.016075382970627,-5.555840208261742,7549,0.08872608876475119,70,80,-50,28,431978,92,80,No
Municipio 229,-31.924719798781325,4.24046546888556,3418,10.814982288737184,77,91,-68,29,813188,58,7,No
Municipio 762,-42.31547115570191,149.52869874969485,8916,1.1601481759143606,12,26,62,42,274507,3,61,No
Municipio 491,33.40701101958172,170.72647495202386,3076,5.997777825887201,71,37,-8,66,160887,72,59,No
Municipio 873,85.97596040573586,109.67604559673794,7105,31.58983828387723,32,53,15,15,911048,83,45,No
Municipio 536,-35.413211483202716,-45.10187106402185,7540,10.310886582410749,85,97,-82,89,243937,26,49,No
Municipio 939,83.31252248870462,-158.90078575705843,1437,27.38792445229974,60,91,-51,46,670472,2,28,No
Municipio 141,81.42868436399334,-53.73646142480696,8435,38.57457589644276,15,58,27,64,511807,82,99,Sí
Municipio 208,-9.24780139585512,-111.63047509273444,4635,23.26382867704742,32,67,1,35,240056,40,47,No
Municipio 664,30.042310112509014,51.44108653529085,6830,27.95205312336823,92,35,-27,5,837309,88,6,No
Municipio 287,7.9452165418069995,-53.376474741351544,7494,22.480651912549128,98,69,-67,96,425954,77,40,No
Municipio 160,-46.89587256396383,141.96085668050807,1808,21.209949574897685,83,35,-18,72,943543,59,91,No
Municipio 855,68.78323191483949,-141.7103045510848,7859,5.801693001810654,10,49,41,12,991909,61,95,No
Municipio 856,-36.418382355998794,15.096173910308892,4249,2.6779877882444127,35,73,-8,57,325308,86,17,No
Municipio 341,54.01608398612862,72.81708504178056,9046,42.83794403164409,39,56,5,80,118715,17,48,Sí
Municipio 904,-16.34068154707255,-76.185155922421,6347,33.40736431082433,14,39,47,5,597023,14,83,No
Municipio 883,-85.8574372219747,-27.810795892820266,4155,16.40007100629035,76,24,0,64,121590,27,57,No
Municipio 55,-57.38503560557871,-120.65668460611599,4438,49.64749781355332,76,87,-63,93,461923,40,50,Sí
Municipio 160,84.66855634831097,-73.21898634477894,2250,3.4182309677077747,62,21,17,41,218946,57,69,No
Municipio 348,14.415093655542208,50.81574848364326,7882,8.817273076198878,95,45,-40,92,697736,35,98,No
Municipio 334,65.37063399408038,-16.172448244498497,3496,19.06157342836124,11,52,37,46,395609,97,79,No
Municipio 45,-59.64670682810907,-107.54630458483604,3261,3.735179351059031,3,12,85,2,722739,95,17,No
Municipio 721,-87.29323533877138,-95.77706810313973,8949,19.933930211812058,20,1,79,14,923670,82,49,No
Municipio 392,46.79155671935976,-92.87668677506663,3542,34.690849027486394,81,21,-2,26,410479,86,15,Sí
Municipio 571,60.840280554562554,-34.04335498716202,4012,34.736337838386746,21,89,-10,25,149186,35,57,Sí
Municipio 70,-50.17312923460398,150.96609061266224,8180,35.76313527598216,82,58,-40,81,104671,19,96,Sí
Municipio 845,-38.26118878187837,-32.19406449727188,5158,30.638867940855473,4,31,65,17,658423,50,10,No
Municipio 891,-83.19665807726506,-178.730449630699,8564,46.50181547434005,60,89,-49,40,238965,14,33,Sí
Municipio 62,-38.04872263445252,-5.490924439439709,9629,7.640331789167531,60,17,23,76,307723,15,33,No
Municipio 550,26.075658063677196,-149.62221852132646,3313,47.17653671539848,20,2,78,42,441191,10,44,Sí
Municipio 851,-68.04471018894635,26.762745274529664,807,42.303046938658774,46,94,-40,25,733676,89,24,No
Municipio 903,40.945773042319445,-97.41071348909371,1205,18.121023418590728,38,34,28,30,891022,88,87,No
Municipio 654,85.23024908421073,88.6305227245569,7794,14.390661913452018,90,33,-23,92,664003,40,11,No
Municipio 783,-75.1740226104324,154.61063376052516,8467,49.378382683988505,61,68,-29,63,688876,69,35,Sí
Municipio 814,-52.39044971734499,53.33986151705872,1805,39.69419428213465,84,4,12,29,697529,69,85,No
Municipio 865,61.945826544894715,-95.18942220651257,6532,19.424508765997718,27,47,26,57,895255,64,31,No
Municipio 230,30.796508231994324,0.8309065959103066,9492,42.39322335730761,94,6,0,27,863674,31,16,Sí
Municipio 907,66.91685141803242,42.83565735635085,8239,41.78803654640362,13,72,15,13,973652,58,16,Sí
Municipio 304,81.0475538299552,161.72844598662095,7114,2.7133972522845387,56,16,28,69,213742,80,81,No
Municipio 843,-45.54859892078524,0.6177120541363479,3883,22.263775647305966,76,48,-24,77,393156,28,68,No
Municipio 877,-83.64960457639629,75.54492031820911,8188,35.69398980795192,88,15,-3,24,451479,71,53,Sí
Municipio 779,-56.72602970398239,-6.422061466844951,7885,38.6638849721609,16,80,4,43,138298,30,19,Sí
Municipio 636,37.82011966708498,-27.791111753707867,2428,21.857374567407017,74,75,-49,8,923508,22,77,No
Municipio 378,51.55591731051308,138.48878517513828,3388,2.4397733392042484,53,43,4,42,951781,3,80,No
Municipio 613,-87.7490433976293,-50.13703418130055,2892,48.41417756639622,14,53,33,4,653780,98,49,Sí
Municipio 758,31.880489974689198,61.99748916186118,630,11.963977267037912,18,84,-2,86,901705,46,14,No
Municipio 361,36.06633726691976,104.42167150018435,851,45.37661015221305,66,53,-19,77,587414,52,4,No
Municipio 803,36.97333675669442,-175.9750962358089,6894,40.69367966982271,68,65,-33,80,514250,96,85,Sí
Municipio 300,63.50357753227394,167.98593457873733,8509,23.94884339783606,42,73,-15,50,734522,13,86,No
Municipio 987,-13.43370709964313,32.75912710377128,4805,12.61922345376625,83,8,9,16,691467,95,64,No
Municipio 562,79.99602787112673,34.074121713080416,4675,23.610120148673726,83,60,-43,42,117463,94,90,No
Municipio 433,-1.4268371418148575,-146.59412796548497,1717,17.811275681446737,45,68,-13,36,372738,34,94,No
Municipio 347,-47.12189397340741,-147.79060812146895,1916,11.74885710549739,23,30,47,14,533596,53,63,No
Municipio 958,18.115126467874404,93.78157488853623,5800,31.21959594982994,76,83,-59,83,529328,48,31,No
Municipio 701,-2.5194993915497292,6.974867128466428,6820,18.121040324342346,44,87,-31,77,525897,29,37,No
Municipio 804,18.22466729869636,-32.674082689900644,225,0.39726149920193965,70,97,-67,65,572687,62,31,No
Municipio 268,-13.303283141538813,131.22605592868746,4131,5.811290876840541,1,98,1,71,274201,17,61,No
Municipio 181,-4.83266504633238,170.43332423585093,7034,18.640504484968297,81,1,18,80,447495,12,99,No
Municipio 298,-76.82566484838298,156.2851920934886,692,14.454431156644286,65,3,32,80,365742,12,34,No
Municipio 910,-77.92692242924016,157.3489246520735,8537,10.871574173163495,0,93,7,81,103807,0,56,No
Municipio 760,-25.171166861002774,-169.27867485314303,4447,8.657811382707198,53,90,-43,60,207275,74,1,No
Municipio 696,-78.36947569108193,-67.33117795472413,9137,32.221564031287194,77,66,-43,93,852291,73,2,No
Municipio 585,16.2009098296367,-124.22602579394346,7053,24.00708266352592,19,99,-18,98,660488,73,22,No
Municipio 406,72.92893695434628,-159.84384601828623,6772,29.664814871676054,31,0,69,57,504296,10,7,No
Municipio 55,-62.46268737257281,19.104795184786354,4547,19.021756197265084,16,79,5,47,700813,62,59,No
Municipio 896,14.312514977265849,-54.60464579160947,7016,37.709920766995566,95,27,-22,27,809172,52,19,Sí
Municipio 43,0.5045791763481304,-112.92015805672219,6865,21.787085380090097,49,92,-41,7,407882,76,86,No
Municipio 532,-59.78054971938852,-15.07341936275779,406,16.165150948614,66,58,-24,66,748324,67,44,No
Municipio 369,-49.15681718356155,-105.46528390649799,4570,36.78761732173518,57,41,2,70,145089,96,33,Sí
Municipio 11,-50.69397810255016,129.91451172641393,722,10.22138315764155,61,65,-26,33,952028,90,47,No
Municipio 182,-5.909299573672456,-110.11513021183583,2457,21.348116392503268,20,94,-14,38,929144,68,40,No
Municipio 657,76.4278435086677,-125.48006582855999,1284,26.14524201994775,69,24,7,92,732411,27,50,No
Municipio 384,-87.53589878832722,177.13560346531347,1592,30.9188775408672,45,52,3,19,546217,70,12,No
Municipio 752,-38.71530206835828,-129.72720343392865,3790,49.938601482739855,98,53,-51,53,731097,67,29,Sí
Municipio 353,6.543967889558203,-136.82145907375883,7599,45.82588841068828,74,4,22,80,916445,43,30,Sí
Municipio 644,-0.10397851668390956,168.13344345024933,5836,15.986241612494595,45,37,18,37,355842,99,64,No
Municipio 380,-26.462854955486947,130.62566105343825,4939,6.0191493093482205,19,44,37,88,372354,69,7,No
Municipio 416,-50.063634252969024,139.96710530482096,1953,4.063683263865375,61,76,-37,95,514936,1,32,No
Municipio 795,30.122739948355346,-34.60471534207193,7952,4.976760451627182,82,86,-68,49,537051,2,74,No
Municipio 903,44.063617623724554,103.62756318172745,730,26.649728123174764,73,74,-47,60,467223,74,36,No
Municipio 637,7.149218223827347,102.89098061589272,8661,18.298872308583725,83,53,-36,9,284429,56,50,No
Municipio 308,-22.64313304212756,-134.83329605472187,3301,14.510760880560047,32,60,8,4,687996,82,6,No
Municipio 453,53.21250766255079,-148.31216968729257,8539,20.717518374060106,57,14,29,86,931266,79,9,No
Municipio 425,-50.0993259393746,40.990887972326135,2956,10.662482441912024,40,18,42,87,495857,76,10,No
Municipio 625,77.41111332830539,-11.306037932233806,6849,16.55221807079054,66,14,20,34,696701,40,34,No
Municipio 81,76.07349488322583,-112.52891775099198,7088,0.13017474331065704,8,18,74,2,181245,9,26,No
Municipio 512,53.51879560882506,-168.7486935198245,4823,21.594777617238957,20,99,-19,75,584670,94,16,No
Municipio 863,-56.242978333694246,25.89969996645533,9529,6.081215453897665,34,91,-25,65,504870,8,28,No
Municipio 93,33.88133215807119,151.96363324188417,6885,40.45303929850366,29,4,67,90,570585,72,79,Sí
Municipio 15,68.73352273996619,-104.18239951819767,7714,1.1629264635168168,10,62,28,25,423855,49,74,No
Municipio 774,-28.513944878372826,-13.093132589116777,4841,25.66937576156888,40,17,43,30,770031,37,70,No
